Generated Answer,Ground Truth,Context1,Context2,Context3,,
"The Indian Constitution was adopted on November 26, 1949.",The Indian Constitution was adopted on 26th November 1949.,"it updated. Those who crafted the Indian Constitution felt that it has to be in accordance with people’s aspirations and changes in society. They did not see it as a sacred, static and unalterable law. So, they made provisions to incorporate changes from time to time. These changes are called constitutional amendments. The Constitution describes the institutional arrangements in a very legal language. If you read the Constitution for the first time, it can be quite difficult to understand. Yet the basic institutional design is not very difficult to understand. Like any Constitution, the Indian Constitution lays down a procedure for choosing persons to govern the country. It defines who will have how much power to take which decisions. And it puts limits to what the government can do by providing some rights to the citizen that cannot be violated. The remaining three chapters in this book are about these three aspects of the working of Indian constitution. We shall look","it updated. Those who crafted the Indian Constitution felt that it has to be in accordance with people’s aspirations and changes in society. They did not see it as a sacred, static and unalterable law. So, they made provisions to incorporate changes from time to time. These changes are called constitutional amendments. The Constitution describes the institutional arrangements in a very legal language. If you read the Constitution for the first time, it can be quite difficult to understand. Yet the basic institutional design is not very difficult to understand. Like any Constitution, the Indian Constitution lays down a procedure for choosing persons to govern the country. It defines who will have how much power to take which decisions. And it puts limits to what the government can do by providing some rights to the citizen that cannot be violated. The remaining three chapters in this book are about these three aspects of the working of Indian constitution. We shall look","BOOKS AUSTIN, GRANVILLE. 1966. The Indian Constitution: Cornerstone of a Nation. Oxford: Clarendon Press. AUSTIN, GRANVILLE. 1999. Working a Democratic Constitution: The Indian Experience. New Delhi: Oxford. LAWYER’S COLLECTIVE, 2007. Staying Alive: First Monitoring and Evaluation Report 2007 on the Protection of Women from Domestic Violence Act 2005. New Delhi: Lawyer’s Collective. RAMASWAMY, GIT A. 2005. India Stinking: Manual Scavengers in Andhra Pradesh and Their W ork. New Delhi: Navanaya Publishing. ARTICLES P. SAINATH, “Whose Sacrifice is it Anyway?” The Hindu. 6 September 1998. HARI PHUYAL, “Nepal's New Constitution: 65 Years in the Making”, The Diplomat, 18 September 2015. https://thediplomat.com (Accessed on 19 September 2017) LEGAL CASES Olga Tellis vs. Bombay Municipal Corporation (1985) 3 SCC 545. Paschim Banga Khet Mazdoor Samiti vs. State of West Bengal (1996) State (Delhi Administration) vs. Laxman Kumar and other (1985) 4 SCC 476.",,
" The Indian Constitution came into effect on January 26, 1950.","The Indian Constitution came into effect on January 26, 1950.","it updated. Those who crafted the Indian Constitution felt that it has to be in accordance with people’s aspirations and changes in society. They did not see it as a sacred, static and unalterable law. So, they made provisions to incorporate changes from time to time. These changes are called constitutional amendments. The Constitution describes the institutional arrangements in a very legal language. If you read the Constitution for the first time, it can be quite difficult to understand. Yet the basic institutional design is not very difficult to understand. Like any Constitution, the Indian Constitution lays down a procedure for choosing persons to govern the country. It defines who will have how much power to take which decisions. And it puts limits to what the government can do by providing some rights to the citizen that cannot be violated. The remaining three chapters in this book are about these three aspects of the working of Indian constitution. We shall look","it updated. Those who crafted the Indian Constitution felt that it has to be in accordance with people’s aspirations and changes in society. They did not see it as a sacred, static and unalterable law. So, they made provisions to incorporate changes from time to time. These changes are called constitutional amendments. The Constitution describes the institutional arrangements in a very legal language. If you read the Constitution for the first time, it can be quite difficult to understand. Yet the basic institutional design is not very difficult to understand. Like any Constitution, the Indian Constitution lays down a procedure for choosing persons to govern the country. It defines who will have how much power to take which decisions. And it puts limits to what the government can do by providing some rights to the citizen that cannot be violated. The remaining three chapters in this book are about these three aspects of the working of Indian constitution. We shall look","changing conditions? One recent instance of designing constitution for a democratic state is that of South Africa. We begin this chapter by looking at what happened there and how the South Africans went about this task of designing their constitution. Then we turn to how the Indian Constitution was made, what its foundational values are, and how it provides a good framework for the conduct of citizens’ life and that of the government. 2024-25",,
"The Indian Constitution addressed the issue of apartheid, which was the official policy of racial separation and ill treatment of blacks followed by the government of South Africa between 1948 and 1989.","The major issue that the Indian Constitution addressed was the institutional arrangements for a democratic government, including the division of power between the central and state governments, the protection of fundamental rights and freedoms of citizens, and the inclusion of universal adult franchise.","some rights to the citizen that cannot be violated. The remaining three chapters in this book are about these three aspects of the working of Indian constitution. We shall look at some key constitutional provisions in each chapter and understand how they work in democratic politics. But this textbook will not cover all the salient features of the institutional design in the Indian Constitution. Some other aspects will be covered in your textbook next year. Apartheid: The official policy of racial separation and ill treatment of blacks followed by the government of South Africa between 1948 and 1989. Clause: A distinct section of a document. Constituent Assembly: An assembly of people’s representatives that writes a constitution for a country. Constitution: Supreme law of a country, containing fundamental rules governing the politics and society in a country. Constitutional amendment: A change in the constitution made by the supreme legislative body in a country.","it updated. Those who crafted the Indian Constitution felt that it has to be in accordance with people’s aspirations and changes in society. They did not see it as a sacred, static and unalterable law. So, they made provisions to incorporate changes from time to time. These changes are called constitutional amendments. The Constitution describes the institutional arrangements in a very legal language. If you read the Constitution for the first time, it can be quite difficult to understand. Yet the basic institutional design is not very difficult to understand. Like any Constitution, the Indian Constitution lays down a procedure for choosing persons to govern the country. It defines who will have how much power to take which decisions. And it puts limits to what the government can do by providing some rights to the citizen that cannot be violated. The remaining three chapters in this book are about these three aspects of the working of Indian constitution. We shall look","it updated. Those who crafted the Indian Constitution felt that it has to be in accordance with people’s aspirations and changes in society. They did not see it as a sacred, static and unalterable law. So, they made provisions to incorporate changes from time to time. These changes are called constitutional amendments. The Constitution describes the institutional arrangements in a very legal language. If you read the Constitution for the first time, it can be quite difficult to understand. Yet the basic institutional design is not very difficult to understand. Like any Constitution, the Indian Constitution lays down a procedure for choosing persons to govern the country. It defines who will have how much power to take which decisions. And it puts limits to what the government can do by providing some rights to the citizen that cannot be violated. The remaining three chapters in this book are about these three aspects of the working of Indian constitution. We shall look",,
"The Karachi Resolution of 1931 was a document drafted by Motilal Nehru and eight other Congress leaders that outlined the proposed structure and principles of India's constitution after independence. The resolution committed to including universal adult franchise, right to freedom and equality, and protecting the rights of minorities in the constitution of independent India.","The Karachi Resolution of 1931 was a document drafted by Motilal Nehru and eight other Congress leaders that outlined the proposed constitution for independent India. The resolution emphasized the inclusion of universal adult franchise, right to freedom and equality, and protection of minority rights in the constitution of independent India.","23 CONSTITUTIONAL D ESIGN 2.3 MAKING OF THE INDIAN CONSTITUTION like. Much of this consensus had evolved during the freedom struggle. Our national movement was not merely a struggle against a foreign rule. It was also a struggle to rejuvenate our country and to transform our society and politics. There were sharp differences of opinion within the freedom struggle about the path India should take after Independence. Such differences exist even today. Yet some basic ideas had come to be accepted by almost everyone. As far back as in 1928, Motilal Nehru and eight other Congress leaders drafted a constitution for India. In 1931, the resolution at the Karachi session of the Indian National Congress dwelt on how independent India’s constitution should look like. Both these documents were committed to the inclusion of universal adult franchise, right to freedom and equality and to protecting the rights of minorities in the constitution of independent India. Thus some basic values were","23 CONSTITUTIONAL D ESIGN 2.3 MAKING OF THE INDIAN CONSTITUTION like. Much of this consensus had evolved during the freedom struggle. Our national movement was not merely a struggle against a foreign rule. It was also a struggle to rejuvenate our country and to transform our society and politics. There were sharp differences of opinion within the freedom struggle about the path India should take after Independence. Such differences exist even today. Yet some basic ideas had come to be accepted by almost everyone. As far back as in 1928, Motilal Nehru and eight other Congress leaders drafted a constitution for India. In 1931, the resolution at the Karachi session of the Indian National Congress dwelt on how independent India’s constitution should look like. Both these documents were committed to the inclusion of universal adult franchise, right to freedom and equality and to protecting the rights of minorities in the constitution of independent India. Thus some basic values were","5 r rr rre ee eea aa aad dd dd t tt tthe hehe hehe c cc cca aa aar rr rrt tt ttoon oonoon oonoon malpractices and fraud. In August 2002 he issued a ‘Legal Framework Order’ that amended the Constitution of Pakistan. According to this Order, the President can dismiss the national and provincial assemblies. The work of the civilian cabinet is supervised by a National Security Council which is dominated by military officers. After passing this law, elections were held to the national and provincial assemblies. So Pakistan has had elections, elected representatives have some powers. But the final power rested with military officers and General Musharraf himself. Clearly, there are many reasons why Pakistan under General Musharraf should not be called a democracy. But let us focus on one of these. Can we say that the rulers are elected by the people in Pakistan? Not quite. People may have elected their representatives to the national and provincial assemblies but those elected",,
"An essential condition for a democracy to function properly is active political participation by all citizens. This means that every citizen should have one vote, and every vote should have equal value. This is what distinguishes democracy from other forms of government, as non-democratic governments do not require active participation from their citizens. The importance of this condition is highlighted in the passage, which states that ""the fate of the country depends not just on what the rulers do, but mainly on what we, as citizens, do."" This emphasizes the idea that democracy relies on the involvement and engagement of its citizens to function effectively."," An essential condition for a democracy to function properly is active political participation by all citizens. This means that every citizen should have one vote, and every vote should have equal value. Democracies need elections to ensure this active participation, as non-democratic countries do not require their citizens to take part in politics. The outcomes of democracy include quality government, economic well-being, inequality reduction, social cohesion, conflict resolution, and freedom and dignity. These outcomes can be assessed by evaluating the actual results of democracy in real life, as opposed to how it is supposed to function according to ideal conditions.","this chapter provide only the minimum conditions of a democracy. That does not make it an ideal democracy. Every democracy has to try to realise the ideals of a democratic decision- making. This cannot be achieved once and for all. This requires a constant effort to save and strengthen democratic forms of decision-making. What we do as citizens can make a difference to making our country more or less democratic. This is the strength and the weakness of democracy: the fate of the country depends not just on what the rulers do, but mainly on what we, as citizens, do. This is what distinguished democracy from other governments. Other forms of government like monarchy, dictatorship or one-party rule do not require all citizens to take part in politics. In fact most non-democratic governments would like citizens not to take part in politics. But democracy depends on active political participation by all the citizens. That is why a study of democracy must focus on democratic politics.","a simple list of the minimum conditions of a democratic election: /UIstopFirst, everyone should be able to choose. This means that everyone should have one vote and every vote should have equal value. We have seen why democracies need to have elections. But why do rulers in non-democratic countries need to hold elections? 2024-25","this chapter provide only the minimum conditions of a democracy. That does not make it an ideal democracy. Every democracy has to try to realise the ideals of a democratic decision- making. This cannot be achieved once and for all. This requires a constant effort to save and strengthen democratic forms of decision-making. What we do as citizens can make a difference to making our country more or less democratic. This is the strength and the weakness of democracy: the fate of the country depends not just on what the rulers do, but mainly on what we, as citizens, do. This is what distinguished democracy from other governments. Other forms of government like monarchy, dictatorship or one-party rule do not require all citizens to take part in politics. In fact most non-democratic governments would like citizens not to take part in politics. But democracy depends on active political participation by all the citizens. That is why a study of democracy must focus on democratic politics.",,
"Transparency is important in a democracy because it allows for accountability, public participation, and better decision-making. Non-democratic rulers do not have to worry about deliberation or majorities and public opinion, which means they can make decisions quickly and efficiently. However, this can lead to decisions that are not accepted by the people and may face problems. In contrast, democratic governments take more time to follow procedures before arriving at a decision, but because they have followed procedures, their decisions are both more acceptable to the people and more effective. Additionally, democracy ensures that decision-making is based on norms and values, and that rulers have to attend to the needs of the people. Taking time over important decisions also reduces the chances of rash or irresponsible decisions, which improves the quality of decision-making. Finally, democracy provides a method to deal with differences and conflicts by involving many persons in discussions and meetings, which leads to better decision-making.","Transparency is important in a democracy because it ensures that decision-making is based on norms and values, rather than solely on the wishes of the rulers. In a non-democratic government, rulers can make decisions without consulting the people or worrying about their opinions. However, this lack of transparency and accountability can lead to irresponsible and rash decisions that may not be in the best interest of the people. On the other hand, democracy requires that the rulers attend to the needs of the people and make decisions based on consultation and discussion. This process of taking time over important decisions reduces the chances of irresponsible or rash decisions and improves the quality of decision-making by involving many persons in the process. Additionally, democracy provides a method for dealing with differences and conflicts among people, which is essential in any society. In summary, transparency is crucial in a democracy because it promotes accountability, responsible decision-making, and effective conflict resolution.","government. It is, of course, true that non-democratic rulers do not have to bother about deliberation in assemblies or worry about majorities and public opinion. So, they can be very quick and efficient in decision making and implementation. Democracy is based on the idea of deliberation and negotiation. So, some delay is bound to take place. Does that make democratic government inefficient? Let us think in terms of costs. Imagine a government that may take decisions very fast. But it may take decisions that are not accepted by the people and may therefore face problems. In contrast, the democratic government will take more time to follow procedures before arriving at a decision. But because it has followed procedures, its decisions may be both more acceptable to the people and more effective. So, the cost of time that democracy pays is perhaps worth it. Now look at the other side – democracy ensur es that decision making will be based on norms and","want to, they don’t have to act according to the wishes of the people. A democracy requires that the rulers have to attend to the needs of the people. A democratic government is a better government because it is a more accountable form of government. There is another reason why democracy should lead to better decisions than any non-democratic government. Democracy is based on consultation and discussion. A democratic decision always involves many persons, discussions and meetings. When a number of people put their heads together, they are able to point out possible mistakes in any decision. This takes time. But there is a big advantage in taking time over important decisions. This reduces the chances of rash or irresponsible decisions. Thus democracy improves the quality of decision-making. This is related to the third argument. Democracy provides a method to deal with differences and conflicts. In any society people are bound to have differences of opinions and interests. These","government. It is, of course, true that non-democratic rulers do not have to bother about deliberation in assemblies or worry about majorities and public opinion. So, they can be very quick and efficient in decision making and implementation. Democracy is based on the idea of deliberation and negotiation. So, some delay is bound to take place. Does that make democratic government inefficient? Let us think in terms of costs. Imagine a government that may take decisions very fast. But it may take decisions that are not accepted by the people and may therefore face problems. In contrast, the democratic government will take more time to follow procedures before arriving at a decision. But because it has followed procedures, its decisions may be both more acceptable to the people and more effective. So, the cost of time that democracy pays is perhaps worth it. Now look at the other side – democracy ensur es that decision making will be based on norms and",,
" The Protection of Women from Domestic Violence Act was passed to provide legal protection to millions of women affected by violence in their homes, including wives, mothers, daughters, and sisters. The Bill was introduced in Parliament in 2002 but faced opposition from the government, leading to delays in its passage. After several years of campaigning and lobbying, the Bill was finally passed in 2006, giving women the right to a violence-free home and providing a comprehensive definition of domestic violence."," The Protection of Women from Domestic Violence Act was passed to provide legal protection to millions of women affected by violence in their homes, including wives, mothers, daughters, and sisters. The Bill was introduced in Parliament in 2002 but faced opposition from the government, leading to delays in its passage. After several years of campaigning and lobbying, the Bill was finally passed in 2006, giving women the right to a violence-free home and providing a comprehensive definition of domestic violence. However, women's organizations have continued to push for changes to the law, including provisions for temporary custody of children.","41 Finally, the Bill was introduced in Parliament in 2002 but … In December 2002, the Standing Committee submitted its recommendations to the Rajya Sabha and these were also tabled in the Lok Sabha. The Committee’s report accepted most of the demands of the women’s groups. Finally a new bill, was reintroduced in Parliament in 2005. After being passed in both houses of Parliament, it was sent to the President for his assent. The Protection of Women from Domestic Violence Act came into effect in 2006. At a press conference in October 2006 Meetings were held with different organisations. This law is a first in recognising a woman’s right to a violence-free home and provides a comprehensive definition of domestic violence. The women’s movement want a new law on Domestic Violence. The Government should introduce it in parliament soon. This Bill has none of what we have been suggesting. We must oppose the Bill in its present form. The law needs to provide for temporary custody of children …","In December 2002, the Standing Committee submitted its recommendations to the Rajya Sabha and these were also tabled in the Lok Sabha. The Committee’s report accepted most of the demands of the women’s groups. Finally a new bill, was reintroduced in Parliament in 2005. After being passed in both houses of Parliament, it was sent to the President for his assent. The Protection of Women from Domestic Violence Act came into effect in 2006. At a press conference in October 2006 Meetings were held with different organisations. This law is a first in recognising a woman’s right to a violence-free home and provides a comprehensive definition of domestic violence. The women’s movement want a new law on Domestic Violence. The Government should introduce it in parliament soon. This Bill has none of what we have been suggesting. We must oppose the Bill in its present form. The law needs to provide for temporary custody of children …","Campaigning Campaigns to fight discrimination and violence against women are an important part of the womens movement. Campaigns have also led to new laws being passed. A law was made in 2006 to give women who face physical and mental violence within their homes, also called domestic violence, some legal protection. Similarly, efforts made by the womens movement led the Supreme Court to formulate guidelines in 1997 to protect women against sexual harassment at the workplace and within educational institutions. In the 1980s, for example, womens groups across the country spoke out against dowry deaths  cases of young brides being murdered by their in-laws or husbands, greedy for more dowry. Womens groups spoke out against the failure to bring these cases to justice. They did so by coming on to the streets, approaching the courts, and by sharing information. Eventually, this became a public issue in the newspapers and society, and the dowry laws were",,
"The term of an MP in Lok Sabha is five years, as stated in the passage: ""Elections to the Parliament are held once every five years.""","The term of an MP in Lok Sabha is five years, ""Elections to the Parliament are held once every five years.""","Social and Political Life 36 Once elected, these candidates become Members of Parliament or MPs. These MPs together make up the Parliament. Once elections to the Parliament have taken place, the Parliament needs to perform the following functions: A. To Select the National Government Parliament of India consists of the President, the Rajya Sabha and the Lok Sabha. After the Lok Sabha elections, a list is prepared showing how many MPs belong to each political party. For a political party to form the government, they must have a majority of elected MPs. Since there are 543 elected members in Lok Sabha, to have a majority a party should have at least half the number i.e. 272 members or more. The Opposition in Parliament is formed by all the political parties that are not part of the majority party/coalition formed. The largest amongst these parties is called the Opposition party. One of the most important functions of the Lok Sabha is to select the executive. The executive, as","Social and Political Life 36 Once elected, these candidates become Members of Parliament or MPs. These MPs together make up the Parliament. Once elections to the Parliament have taken place, the Parliament needs to perform the following functions: A. To Select the National Government Parliament of India consists of the President, the Rajya Sabha and the Lok Sabha. After the Lok Sabha elections, a list is prepared showing how many MPs belong to each political party. For a political party to form the government, they must have a majority of elected MPs. Since there are 543 elected members in Lok Sabha, to have a majority a party should have at least half the number i.e. 272 members or more. The Opposition in Parliament is formed by all the political parties that are not part of the majority party/coalition formed. The largest amongst these parties is called the Opposition party. One of the most important functions of the Lok Sabha is to select the executive. The executive, as","Social and Political Life 34 The Role of the Parliament Created after 1947, the Indian Parliament is an expression of the faith that the people of India have in principles of democracy. These are participation by people in the decision- making process and government by consent. The Parliament in our system has immense powers because it is the representative of the people. Elections to the Parliament are held in a similar manner as they are for the state legislature. The Lok Sabha is usually elected once every five years. The country is divided into numerous constituencies as shown in the map on page 45. Each of these constituencies elects one person to the Parliament. The candidates who contest elections usually belong to different political parties.",,
"The Rajya Sabha's function is to represent the states of India in Parliament, initiate legislation, and review and alter laws passed by the Lok Sabha.","The function of the Rajya Sabha is to represent the states of India in the Parliament and initiate legislation. The Rajya Sabha has the role of reviewing and altering laws initiated by the Lok Sabha, and it also provides a mechanism for MPs to elicit information about the working of the government through question hour.","37 The Rajya Sabha functions primarily as the representative of the states of India in the Parliament. The Rajya Sabha can also initiate legislation and a bill is required to pass through the Rajya Sabha in order to become a law. It, therefore, has an important role of reviewing and altering (if alterations are needed) the laws initiated by the Lok Sabha. The members of the Rajya Sabha are elected by the elected members of the Legislative Assemblies of various states. There are 233 elected members plus 12 members nominated by the President. B. To Control, Guide and Inform the Government The Parliament, while in session, begins with a question hour. The question hour is an important mechanism through which MPs can elicit information about the working of the government. This is a very important way through which the Parliament controls the executive. By asking questions the government is alerted to its shortcomings, and also comes to know the opinion of the people through their","The Rajya Sabha functions primarily as the representative of the states of India in the Parliament. The Rajya Sabha can also initiate legislation and a bill is required to pass through the Rajya Sabha in order to become a law. It, therefore, has an important role of reviewing and altering (if alterations are needed) the laws initiated by the Lok Sabha. The members of the Rajya Sabha are elected by the elected members of the Legislative Assemblies of various states. There are 233 elected members plus 12 members nominated by the President. B. To Control, Guide and Inform the Government The Parliament, while in session, begins with a question hour. The question hour is an important mechanism through which MPs can elicit information about the working of the government. This is a very important way through which the Parliament controls the executive. By asking questions the government is alerted to its shortcomings, and also comes to know the opinion of the people through their","37 The Rajya Sabha functions primarily as the representative of the states of India in the Parliament. The Rajya Sabha can also initiate legislation and a bill is required to pass through the Rajya Sabha in order to become a law. It, therefore, has an important role of reviewing and altering (if alterations are needed) the laws initiated by the Lok Sabha. The members of the Rajya Sabha are elected by the elected members of the Legislative Assemblies of various states. There are 233 elected members plus 12 members nominated by the President. B. To Control, Guide and Inform the Government The Parliament, while in session, begins with a question hour. The question hour is an important mechanism through which MPs can elicit information about the working of the government. This is a very important way through which the Parliament controls the executive. By asking questions the government is alerted to its shortcomings, and also comes to know the opinion of the people through their",,
"The question hour in Parliament is crucial for controlling, guiding, and informing the government. Through this mechanism, MPs can elicit information about the working of the government, which helps to identify shortcomings and gauge public opinion. This is one of the key ways in which the Parliament exercises its control over the executive branch, ensuring that the government is accountable to the people through their representatives. The question hour provides an opportunity for MPs to ask questions related to various matters, including finances, which require parliamentary approval. This is a vital aspect of Indian democracy, as it enables the representation of the people's views and opinions in the governance process."," The question hour in Parliament is important because it allows members to elicit information from the government about its working, including matters related to finances. This mechanism enables the Parliament to control, guide, and inform the government, which is a key aspect of Indian democracy. By asking questions, MPs can bring attention to shortcomings in the government's functioning and gain insight into public opinion.","matters dealing with finances, the Parliament’s approval is crucial for the government. This is one of the several ways in which the Parliament controls, guides and infor ms the government. The MPs as representatives of the people have a central r ole in contr olling , guiding and inf orming Parliament and this is a k ey aspect of the functioning of Indian democracy. The following is an example of a question asked in Parliament. Source: http://loksabha.nic.in 2024-25","37 The Rajya Sabha functions primarily as the representative of the states of India in the Parliament. The Rajya Sabha can also initiate legislation and a bill is required to pass through the Rajya Sabha in order to become a law. It, therefore, has an important role of reviewing and altering (if alterations are needed) the laws initiated by the Lok Sabha. The members of the Rajya Sabha are elected by the elected members of the Legislative Assemblies of various states. There are 233 elected members plus 12 members nominated by the President. B. To Control, Guide and Inform the Government The Parliament, while in session, begins with a question hour. The question hour is an important mechanism through which MPs can elicit information about the working of the government. This is a very important way through which the Parliament controls the executive. By asking questions the government is alerted to its shortcomings, and also comes to know the opinion of the people through their","The Rajya Sabha can also initiate legislation and a bill is required to pass through the Rajya Sabha in order to become a law. It, therefore, has an important role of reviewing and altering (if alterations are needed) the laws initiated by the Lok Sabha. The members of the Rajya Sabha are elected by the elected members of the Legislative Assemblies of various states. There are 233 elected members plus 12 members nominated by the President. B. To Control, Guide and Inform the Government The Parliament, while in session, begins with a question hour. The question hour is an important mechanism through which MPs can elicit information about the working of the government. This is a very important way through which the Parliament controls the executive. By asking questions the government is alerted to its shortcomings, and also comes to know the opinion of the people through their",,
